# x y z sigma_xx sigma_xy sigma_xz sigma_yy sigma_yz sigma_zz
0.011111 0.011028 0.011111 -15825.366470 2055.181475 -1038.412990 -20744.099298 -7534.674845 -10451.156793
0.033333 0.011028 0.011111 -32290.739947 -751.910475 56.534257 -27534.451776 -10174.232478 -15078.003794
0.055556 0.011028 0.011111 -30866.579378 -4612.553456 -1644.606679 -36040.682808 -841.997653 -12734.577709
0.077778 0.011028 0.011111 -41409.133940 -1959.864790 1416.514067 -26846.723861 -4519.629656 -18491.097539
0.100000 0.011028 0.011111 -38217.392725 4953.765043 -3682.444176 -31108.963528 -7479.844105 -17272.405949
0.122222 0.011028 0.011111 -28421.450418 4564.109543 -4637.696416 -29385.583154 1453.127103 -17452.763473
0.144444 0.011028 0.011111 -36671.532272 6242.708286 -4150.533600 -33106.239850 -4205.473659 -21727.394455
0.166667 0.011028 0.011111 -33353.237685 -1526.836400 -1960.911892 -29405.018428 -6554.600089 -10446.409148
0.188889 0.011028 0.011111 -34556.787731 25.853964 8890.530040 -34159.931250 -6587.508808 -19518.236022
0.211111 0.011028 0.011111 -35394.745337 -3275.240438 2938.175167 -24540.405918 -2773.170985 -8700.164787
0.233333 0.011028 0.011111 -47487.699906 5869.635553 4878.615354 -36918.370050 -7728.304205 -18833.873520
0.255556 0.011028 0.011111 -32861.599169 4808.161750 -3154.293298 -20099.056399 4459.541115 -11784.050958
0.277778 0.011028 0.011111 -34269.599107 -6083.866527 -2497.932682 -31595.868533 -5201.519800 -9931.527304
0.300000 0.011028 0.011111 -24765.240343 -4452.942668 -300.152278 -26783.663573 5827.076831 -17804.409081
0.322222 0.011028 0.011111 -43787.533022 -2937.742938 -669.562610 -22905.450232 -2859.151808 -16035.647223
0.344444 0.011028 0.011111 -37436.270429 1736.725761 -503.047032 -20243.648187 -8129.158506 -20576.800581
0.366667 0.011028 0.011111 -28264.835187 -2234.577753 -3480.090680 -19957.965526 1127.096387 -7519.280759
0.388889 0.011028 0.011111 -9773.705565 -6436.865509 -7427.018886 -23779.416235 -2585.881581 -20986.318603
0.011111 0.033083 0.011111 -17728.436749 -4279.386609 2477.386045 -39692.819342 -5035.897839 -18644.295052
0.033333 0.033083 0.011111 -33705.217862 -471.634557 -5014.300555 -50907.773482 -4848.124126 -18206.253963
0.055556 0.033083 0.011111 -37340.328850 -4551.975925 3194.418019 -51134.111494 1045.993934 -23750.050640
0.077778 0.033083 0.011111 -23219.691528 1113.798589 -1488.033665 -63137.505482 -7709.403121 -27638.225024
0.100000 0.033083 0.011111 -26195.932679 -918.128878 2617.292943 -56526.365324 5893.796893 -17707.730754
0.122222 0.033083 0.011111 -29136.098503 1636.654006 -9165.265278 -69538.935532 -5742.215961 -11086.653903
0.144444 0.033083 0.011111 -24963.526046 6821.785853 -7380.223468 -35198.801232 -1645.790397 -14442.137535
0.166667 0.033083 0.011111 -31654.663344 5469.012242 10040.464417 -77028.483383 -11680.697362 -15266.519521
0.188889 0.033083 0.011111 -31561.240757 -4364.814102 7002.810921 -59211.643962 -518.959048 -18268.906332
0.211111 0.033083 0.011111 -30714.232758 7545.374370 -2270.917838 -50083.793438 406.592832 -11616.507344
0.233333 0.033083 0.011111 -28351.966043 -3780.184861 -809.405294 -52838.214202 -6497.610328 -15787.214822
0.255556 0.033083 0.011111 -48283.893732 -4198.854106 3204.571057 -61822.904299 1365.384717 -18379.117991
0.277778 0.033083 0.011111 -34945.396207 -3579.479336 -3733.271532 -46622.386462 -1046.896061 -17171.779155
0.300000 0.033083 0.011111 -49192.420156 -5515.887026 -10804.597266 -63160.647152 3053.589185 -14138.166668
0.322222 0.033083 0.011111 -37278.072440 -4539.214848 -4466.310305 -54477.374795 -3059.959755 -13928.161950
0.344444 0.033083 0.011111 -25468.467855 -727.500241 3050.392552 -28474.327902 -5773.254127 -12272.750757
0.366667 0.033083 0.011111 -31160.315277 6467.584237 2242.342504 -50695.501698 -8471.002914 -4625.131148
0.388889 0.033083 0.011111 -15041.185299 2197.692794 -1649.558941 -43270.272160 1523.770875 -12270.254698
0.011111 0.055139 0.011111 -16993.993716 1243.152977 324.696432 -45311.196643 574.581250 -15655.589166
0.033333 0.055139 0.011111 -27439.538707 3844.531761 3651.206862 -32635.029461 1873.388074 -6836.457646
0.055556 0.055139 0.011111 -23642.651348 4609.786529 -5019.079283 -50466.224604 -9271.868014 -5438.922608
0.077778 0.055139 0.011111 -30321.019763 -200.251863 -9582.019795 -78918.297829 2536.033958 -563.710064
0.100000 0.055139 0.011111 -15107.434468 -2818.378159 275.518385 -53325.360688 1990.810968 -22379.200424
0.122222 0.055139 0.011111 -28228.662612 4673.426733 7333.422563 -61873.647416 -1326.923575 -12423.213625
0.144444 0.055139 0.011111 -38937.631764 2344.657564 -7699.871342 -58314.477590 -330.519230 -26974.901595
0.166667 0.055139 0.011111 -18255.994082 -689.975353 -4124.378496 -45262.728691 -8956.149587 -11257.379595
0.188889 0.055139 0.011111 -30065.798880 -3060.029529 1341.759521 -57180.956101 8753.951099 -9096.108244
0.211111 0.055139 0.011111 -28091.115530 6467.074556 7441.504558 -49039.776602 -2337.718036 -7286.201945
0.233333 0.055139 0.011111 -23231.855961 -9653.819687 -2638.904856 -55871.176676 11258.576905 -22587.212522
0.255556 0.055139 0.011111 -28452.714272 4589.791607 -5358.026301 -63528.558672 1703.405712 -19215.098385
0.277778 0.055139 0.011111 -31410.439070 8658.207877 2535.969137 -72867.776510 2474.869611 -16847.006211
0.300000 0.055139 0.011111 -24672.405972 -7190.968195 2767.985200 -41289.321366 -763.449683 -3156.753015
0.322222 0.055139 0.011111 -27819.306683 -2113.348691 -3205.362464 -43522.903361 939.070429 -8849.979263
0.344444 0.055139 0.011111 -26246.701814 -802.747283 -1675.499697 -44975.857027 -1121.043334 -14391.817414
